;Tweets;len;ID;Created;Source;Likes;RTs
0;Nama-nama seperti Tulus, The Jansen, Danilla, hingga Perunggu yang masuk daftar ini, membuktikan sepanjang 2022 ban… https://t.co/3zCuUK9oIF;140;1608801023598161920;2022-12-30 12:23:48+00:00;Twitter for iPhone;42;7
1;Menurut lelaki yang nge-admin akun OnlyFans, para model bisa saja mengelola akun mereka sendiri, tapi mereka mungki… https://t.co/qRLYGGNAfi;140;1608779998713765891;2022-12-30 11:00:16+00:00;SocialFlow;9;3
2;Terima kasih akun-akun yang rajin nge-share foto kucing dan anjing menggemaskan. Kalian membantu banyak orang tetap… https://t.co/h8tnhQQe3t;140;1608764878487015424;2022-12-30 10:00:11+00:00;SocialFlow;48;11
3;Kisah inspiratif kali ini hadir dari nelayan Tehoru, di Seram, Maluku Tengah. Mereka spesialis penangkap tuna secar… https://t.co/DwKXLRWl5r;140;1608749755693154305;2022-12-30 09:00:05+00:00;SocialFlow;103;21
4;Akibat pandemi, para remaja bosan Indonesia mengadakan balapan lari liar di jalanan. Balapan ini menjadi cukup mere… https://t.co/W12DtW8f5r;140;1608736877229514754;2022-12-30 08:08:55+00:00;SocialFlow;15;2
5;Pameran di Kyoto, Jepang, menyuguhkan proyek foto mendiang Masahisa Fukase. Sang fotografer sangat ingin jadi kucin… https://t.co/oTq1gnocvI;140;1608734698838102017;2022-12-30 08:00:15+00:00;SocialFlow;9;1
6;Perilaku seks sampai mati ternyata merupakan hal biasa di kalangan kaluta jantan yang masih termasuk keluarga marsu… https://t.co/mFLC3GxSHh;140;1608719607979806722;2022-12-30 07:00:17+00:00;SocialFlow;20;5
7;Tak jarang orang terkejut melihat sifat asli pasangan begitu tinggal bareng. Psikolog memberi tips agar kita tak ke… https://t.co/VXy7bZWBUt;140;1608704518354604033;2022-12-30 06:00:20+00:00;SocialFlow;86;16
8;Mamalia selain manusia, berdasar kesimpulan riset dari Jepang ini, ternyata bisa juga menangis karena emosi yang me… https://t.co/EudKdpvtZY;140;1608689398534602752;2022-12-30 05:00:15+00:00;SocialFlow;21;3
9;Aku bertanya ke peneliti dan psikolog, kenapa banyak orang tidak ragu mengemis foto binatang peliharaan imut sama n… https://t.co/kdYY6n95yp;140;1608659213936480256;2022-12-30 03:00:18+00:00;SocialFlow;9;0
10;2022 dipenuhi dengan berbagai trend. Menurut kamu yang mana yang paling basi? 🫢;79;1608598800884531200;2022-12-29 23:00:15+00:00;SocialFlow;12;0
11;Apa saja 4 momen paling berkesan di tahun ini buat kamu?;56;1608493109922627584;2022-12-29 16:00:16+00:00;SocialFlow;13;2
12;Kata pakar percintaan, orang yang selingkuh pasti merasa bersalah dan tak bermaksud melukai perasaan pasangan. Tapi… https://t.co/8aAoe6lbwg;140;1608478024546009088;2022-12-29 15:00:19+00:00;SocialFlow;12;2
13;Ilmuwan menemukan perilaku unik kumbang gurun jantan menggosok organ mulut pada alat kelamin betina, agar dapat men… https://t.co/2uN6PCQ4Ti;140;1608462912561061893;2022-12-29 14:00:16+00:00;SocialFlow;23;1
14;Ide Kemenhub membedakan tarif KRL sesuai data warga kaya-miskin Jabodetabek dikritik pengamat transportasi umum. Pe… https://t.co/RvGrRXfrSQ;140;1608432710044844032;2022-12-29 12:00:15+00:00;SocialFlow;223;48
15;Ide Kemenhub membedakan tarif KRL sesuai data warga kaya-miskin Jabodetabek dikritik pengamat transportasi umum. Pe… https://t.co/9Wvj83FQiY;140;1608417723838611459;2022-12-29 11:00:42+00:00;SocialFlow;27;5
16;Banyak hal telah terjadi sepanjang tahun ini, dari perang Rusia-Ukraina hingga Tragedi Kanjuruhan. Berikut kilas ba… https://t.co/8zttYOC7RD;140;1608402483071557633;2022-12-29 10:00:09+00:00;SocialFlow;18;6
17;Masih ingat ‘Harlem Shake’? Tren ini pernah mengguncang jagat internet jauh sebelum tren joget TikTok. Cerita tren… https://t.co/mEB49ERD4v;139;1608391148627787776;2022-12-29 09:15:06+00:00;SocialFlow;75;9
18;Tim VICE mengunjungi Todos Santos di Guatemala berpesta semingguan penuh mengikuti perayaan warga setempat, menyaks… https://t.co/rZAxviEdtM;140;1608376284756807681;2022-12-29 08:16:03+00:00;SocialFlow;14;0
19;Kebanyakan korban tewas akibat tergelincir selama badai salju terparah menghantam Jepang menjelang akhir 2022.… https://t.co/AaCBMhWqD5;135;1608342092169756672;2022-12-29 06:00:10+00:00;SocialFlow;153;31
20;"""Aku pernah beberapa minggu cuma makan mi instan supaya bisa menabung uang."" https://t.co/2EEPfLXXOv";100;1608327010077773824;2022-12-29 05:00:15+00:00;SocialFlow;12;3
21;Bagaimana caranya supaya pasangan kalian mengerti pentingnya menghemat uang? Begini saran dari pakar keuangan. https://t.co/b21yjiIjOC;134;1608296825706119168;2022-12-29 03:00:18+00:00;SocialFlow;12;5
22;Kemarin kan udah musik, coba sekarang share series atau film terbaik di 2022 versi kalian 🎞️🍿👀;94;1608130712745525249;2022-12-28 16:00:14+00:00;SocialFlow;20;2
23;Bocoran nih, AI bisa suntuk dan depresi kalau mereka punya sistem yang berfungsi seperti serotonin dalam tubuh manu… https://t.co/507jUvJefx;140;1608115666317369344;2022-12-28 15:00:26+00:00;SocialFlow;10;4
24;Kayak 19 tahun keliling Indonesia dengan jalan kaki. Ini dia makna 'bermodal dengkul' dan ‘tua di jalan’ yang sesun… https://t.co/ntajvgSc8w;140;1608100556970639362;2022-12-28 14:00:24+00:00;SocialFlow;13;4
25;Luhut Binsar Pandjaitan menilai seringnya OTT tersangka korupsi di Indonesia bukan hal bagus. Menurutnya, di negara… https://t.co/MBNb8KuuGI;140;1608080679916404736;2022-12-28 12:41:25+00:00;SocialFlow;156;15
